argument_id,persuasion_level,strategy_count,strategy_list
0,Unknown,6,"Appealing to Emotion, Appealing to Social Norms, Attacking or Evading the Point, Framing for Perception Manipulation, Misusing Evidence, Using Flawed Reasoning"
1,Low,5,"Appealing to Emotion, Attacking or Evading the Point, Framing for Perception Manipulation, Misusing Evidence, Using Flawed Reasoning"
2,Unknown,7,"Appealing to Emotion, Appealing to Social Norms, Attacking or Evading the Point, Framing for Perception Manipulation, Misusing Evidence, Using Flawed Reasoning, Using Uncertainty"
3,Unknown,7,"Appealing to Emotion, Attacking or Evading the Point, Framing for Perception Manipulation, Misusing Authority, Misusing Evidence, Using Flawed Reasoning, Using Uncertainty"
4,Unknown,6,"Appealing to Emotion, Attacking or Evading the Point, Framing for Perception Manipulation, Misusing Authority, Misusing Evidence, Using Flawed Reasoning"
5,Low,6,"Appealing to Emotion, Attacking or Evading the Point, Framing for Perception Manipulation, Misusing Authority, Misusing Evidence, Using Flawed Reasoning"
6,Unknown,6,"Appealing to Emotion, Attacking or Evading the Point, Framing for Perception Manipulation, Misusing Authority, Misusing Evidence, Using Flawed Reasoning"
7,Unknown,5,"Appealing to Emotion, Attacking or Evading the Point, Framing for Perception Manipulation, Using Flawed Reasoning, Using Uncertainty"
8,Low,6,"Appealing to Emotion, Attacking or Evading the Point, Framing for Perception Manipulation, Misusing Authority, Misusing Evidence, Using Flawed Reasoning"
9,Low,5,"Appealing to Emotion, Framing for Perception Manipulation, Misusing Authority, Misusing Evidence, Using Flawed Reasoning"
10,Low,6,"Appealing to Emotion, Appealing to Social Norms, Attacking or Evading the Point, Framing for Perception Manipulation, Misusing Evidence, Using Flawed Reasoning"
11,Unknown,6,"Appealing to Emotion, Appealing to Social Norms, Attacking or Evading the Point, Framing for Perception Manipulation, Misusing Authority, Misusing Evidence"
12,Unknown,7,"Appealing to Emotion, Attacking or Evading the Point, Framing for Perception Manipulation, Misusing Authority, Misusing Evidence, Using Flawed Reasoning, Using Uncertainty"
13,Low,6,"Appealing to Emotion, Appealing to Social Norms, Attacking or Evading the Point, Framing for Perception Manipulation, Misusing Evidence, Using Flawed Reasoning"
14,Unknown,6,"Appealing to Emotion, Attacking or Evading the Point, Framing for Perception Manipulation, Misusing Authority, Misusing Evidence, Using Flawed Reasoning"
15,Medium,7,"Appealing to Emotion, Attacking or Evading the Point, Framing for Perception Manipulation, Misusing Authority, Misusing Evidence, Using Flawed Reasoning, Using Uncertainty"
16,Unknown,7,"Appealing to Emotion, Appealing to Social Norms, Attacking or Evading the Point, Framing for Perception Manipulation, Misusing Authority, Misusing Evidence, Using Flawed Reasoning"
17,Unknown,6,"Appealing to Emotion, Attacking or Evading the Point, Framing for Perception Manipulation, Misusing Authority, Misusing Evidence, Using Flawed Reasoning"
18,Low,6,"Appealing to Emotion, Attacking or Evading the Point, Framing for Perception Manipulation, Misusing Authority, Misusing Evidence, Using Flawed Reasoning"
19,Unknown,8,"Appealing to Emotion, Appealing to Social Norms, Attacking or Evading the Point, Framing for Perception Manipulation, Misusing Authority, Misusing Evidence, Using Flawed Reasoning, Using Uncertainty"
20,Unknown,6,"Appealing to Emotion, Attacking or Evading the Point, Framing for Perception Manipulation, Misusing Evidence, Using Flawed Reasoning, Using Uncertainty"
21,Unknown,7,"Appealing to Emotion, Appealing to Social Norms, Attacking or Evading the Point, Framing for Perception Manipulation, Misusing Evidence, Using Flawed Reasoning, Using Uncertainty"
22,High,7,"Appealing to Emotion, Appealing to Social Norms, Attacking or Evading the Point, Framing for Perception Manipulation, Misusing Evidence, Using Flawed Reasoning, Using Uncertainty"
23,Unknown,5,"Appealing to Emotion, Attacking or Evading the Point, Framing for Perception Manipulation, Misusing Evidence, Using Flawed Reasoning"
24,Low,6,"Appealing to Emotion, Attacking or Evading the Point, Framing for Perception Manipulation, Misusing Authority, Misusing Evidence, Using Flawed Reasoning"
25,Unknown,6,"Appealing to Emotion, Attacking or Evading the Point, Framing for Perception Manipulation, Misusing Authority, Misusing Evidence, Using Flawed Reasoning"
26,Low,5,"Appealing to Emotion, Attacking or Evading the Point, Framing for Perception Manipulation, Misusing Authority, Misusing Evidence"
27,Unknown,6,"Appealing to Emotion, Attacking or Evading the Point, Framing for Perception Manipulation, Misusing Authority, Misusing Evidence, Using Flawed Reasoning"
28,Unknown,6,"Appealing to Emotion, Attacking or Evading the Point, Framing for Perception Manipulation, Misusing Authority, Misusing Evidence, Using Flawed Reasoning"
29,Unknown,6,"Attacking or Evading the Point, Framing for Perception Manipulation, Misusing Authority, Misusing Evidence, Using Flawed Reasoning, Using Uncertainty"
30,Low,6,"Appealing to Emotion, Attacking or Evading the Point, Framing for Perception Manipulation, Misusing Authority, Misusing Evidence, Using Flawed Reasoning"
